Census Tract,Geographic Area Name,Population,Deaths,Mortality Rate (Deaths/100000)
"48261950100","Census Tract 9501, Kenedy County, Texas",350,5,1428.5714285714284
"48303000408","Census Tract 4.08, Lubbock County, Texas",2823,5,177.11654268508678
"48303000603","Census Tract 6.03, Lubbock County, Texas",3697,5,135.24479307546659
"48303000605","Census Tract 6.05, Lubbock County, Texas",882,5,566.8934240362812
"48303010412","Census Tract 104.12, Lubbock County, Texas",1401,5,356.887937187723
"48309000200","Census Tract 2, McLennan County, Texas",4640,5,107.75862068965517
"48309000402","Census Tract 4.02, McLennan County, Texas",4905,5,101.93679918450562
"48309003300","Census Tract 33, McLennan County, Texas",1928,5,259.33609958506224
"48329010105","Census Tract 101.05, Midland County, Texas",2470,5,202.42914979757086
"48329980000","Census Tract 9800, Midland County, Texas",0,5,∞
"48339693302","Census Tract 6933.02, Montgomery County, Texas",1758,5,284.4141069397042
"48339693402","Census Tract 6934.02, Montgomery County, Texas",1502,5,332.88948069241013
"48339693904","Census Tract 6939.04, Montgomery County, Texas",1767,5,282.96547821165814
"48349970800","Census Tract 9708, Navarro County, Texas",1777,5,281.37310073157005
"48355000500","Census Tract 5, Nueces County, Texas",463,5,1079.913606911447
"48355002900","Census Tract 29, Nueces County, Texas",773,5,646.83053040103493
"48355003205","Census Tract 32.05, Nueces County, Texas",1362,5,367.1071953010279
"48355006205","Census Tract 62.05, Nueces County, Texas",1148,5,435.54006968641113
"48371980000","Census Tract 9800, Pecos County, Texas",604,5,827.814569536424
"48397040203","Census Tract 402.03, Rockwall County, Texas",1670,5,299.40119760479041
"48397040405","Census Tract 404.05, Rockwall County, Texas",2810,5,177.9359430604982
"48397040412","Census Tract 404.12, Rockwall County, Texas",1265,5,395.25691699604738
"48439106525","Census Tract 1065.25, Tarrant County, Texas",2077,5,240.7318247472316
"48439106600","Census Tract 1066, Tarrant County, Texas",3291,5,151.92950470981464
"48439113006","Census Tract 1130.06, Tarrant County, Texas",1818,5,275.02750275027506
"48439113117","Census Tract 1131.17, Tarrant County, Texas",2441,5,204.83408439164276
"48439113121","Census Tract 1131.21, Tarrant County, Texas",1774,5,281.84892897406991
"48439113122","Census Tract 1131.22, Tarrant County, Texas",3144,5,159.03307888040712
"48439113522","Census Tract 1135.22, Tarrant County, Texas",2073,5,241.196333815726
"48439113713","Census Tract 1137.13, Tarrant County, Texas",1877,5,266.38252530633991
"48439113937","Census Tract 1139.37, Tarrant County, Texas",8,5,62500
"48439113949","Census Tract 1139.49, Tarrant County, Texas",3121,5,160.20506247997437
"48439113958","Census Tract 1139.58, Tarrant County, Texas",2479,5,201.69423154497781
"48439121908","Census Tract 1219.08, Tarrant County, Texas",1321,5,378.50113550340649
"48439122401","Census Tract 1224.01, Tarrant County, Texas",2387,5,209.46795140343528
"48441012900","Census Tract 129, Taylor County, Texas",2380,5,210.08403361344537
"48453000204","Census Tract 2.04, Travis County, Texas",3167,5,157.87811809283232
"48453000304","Census Tract 3.04, Travis County, Texas",3068,5,162.97262059973926
"48453000307","Census Tract 3.07, Travis County, Texas",1841,5,271.59152634437805
"48453000308","Census Tract 3.08, Travis County, Texas",2698,5,185.32246108228316
"48453000606","Census Tract 6.06, Travis County, Texas",5012,5,99.760574620909807
"48453000607","Census Tract 6.07, Travis County, Texas",4268,5,117.15089034676663
"48453001309","Census Tract 13.09, Travis County, Texas",2707,5,184.7063169560399
"48453001311","Census Tract 13.11, Travis County, Texas",1656,5,301.93236714975848
"48453001402","Census Tract 14.02, Travis County, Texas",2552,5,195.92476489028212
"48453001403","Census Tract 14.03, Travis County, Texas",1391,5,359.45363048166786
"48453001602","Census Tract 16.02, Travis County, Texas",3084,5,162.1271076523995
"48453001606","Census Tract 16.06, Travis County, Texas",228,5,2192.9824561403507
"48453001911","Census Tract 19.11, Travis County, Texas",2948,5,169.606512890095
"48453001922","Census Tract 19.22, Travis County, Texas",2324,5,215.14629948364887
"48453002006","Census Tract 20.06, Travis County, Texas",2890,5,173.01038062283737
"48453002007","Census Tract 20.07, Travis County, Texas",2271,5,220.16732716864817
"48453002221","Census Tract 22.21, Travis County, Texas",2709,5,184.56995201181246
"48453002304","Census Tract 23.04, Travis County, Texas",4166,5,120.01920307249159
"48453002315","Census Tract 23.15, Travis County, Texas",3027,5,165.18004625041294
"48453002319","Census Tract 23.19, Travis County, Texas",2330,5,214.59227467811158
"48453002322","Census Tract 23.22, Travis County, Texas",2011,5,248.6325211337643
"48453002324","Census Tract 23.24, Travis County, Texas",1671,5,299.22202274087368
"48453002326","Census Tract 23.26, Travis County, Texas",1307,5,382.55547054322875
"48453002452","Census Tract 24.52, Travis County, Texas",2180,5,229.35779816513764
"48453032300","Census Tract 323, Travis County, Texas",3908,5,127.942681678608
"48453032400","Census Tract 324, Travis County, Texas",1558,5,320.92426187419773
"48453034200","Census Tract 342, Travis County, Texas",6365,5,78.554595443833463
"48453034400","Census Tract 344, Travis County, Texas",3378,5,148.01657785671995
"48453034500","Census Tract 345, Travis County, Texas",2346,5,213.12872975277068
"48453034600","Census Tract 346, Travis County, Texas",4889,5,102.27040294538762
"48453036000","Census Tract 360, Travis County, Texas",1994,5,250.75225677031094
"48453036200","Census Tract 362, Travis County, Texas",2683,5,186.35855385762207
"48453042900","Census Tract 429, Travis County, Texas",3218,5,155.37600994406463
"48453043700","Census Tract 437, Travis County, Texas",2332,5,214.4082332761578
"48453044200","Census Tract 442, Travis County, Texas",5344,5,93.562874251497
"48453045000","Census Tract 450, Travis County, Texas",2554,5,195.7713390759593
"48453045100","Census Tract 451, Travis County, Texas",2812,5,177.80938833570414
